wavelength,White ,Red,FarRed,RoyalBlue,Blue ,Cyan
324,0.004406375349166,0.000544041588038,0.000862328412986,-0.001048309396593,-0.001262136966191,0
326,0.005407692301161,0.000597104242014,0.001292519322389,-0.001869652527113,-0.001038928851791,-0.001795465767339
327,0.006068082683215,8.80478867543533E-05,0.000224961648595,-0.002884199101857,-0.000490235283969,-0.001993457393308
329,0.007092202084481,0.000638496497802,0.000673256983797,-0.002109109386558,-0.000888759297502,-0.001548851439659
331,0.005766455451005,0.000352776187608,0.000150223391071,-0.002719046488323,-0.001227622695477,-0.002121564456639
333,0.00737476009465,-0.000654635815332,0.000696912203474,0,-0.002733673572319,-0.000810542615175
335,0.003663529627999,-7.40412480893254E-05,-0.000105097110272,-0.001712033884487,-0.001442870665858,-0.001257253968729
337,0.003035497747762,-0.000792811364979,0.000131290620476,-0.003182628949038,-0.001195522106072,-0.002056739743188
339,0.003834765211455,0.000117300295057,0.000199800879039,-0.002486275032248,-0.000734746043018,-0.001659843502764
341,0.004333693770061,-0.000469607392933,0.000340696201513,-0.000703797686471,-0.00181575840049,-0.00118135503544
343,0.002398451352852,-0.000421218541332,2.65730867766801E-05,-0.000721460131165,-0.000325732139816,-0.000993400256348
344,0.003080156083766,-0.000425129186642,-9.65512606256893E-05,-0.00163835607763,-0.000828465819303,-0.000782046024116
346,0.003048644550048,3.92090364089401E-05,0.000200357550772,-0.00083106737468,-0.000436618158746,-0.000887716291613
348,0.002596877008872,-0.00033064804074,0.000323319707854,-0.001132663239785,-0.000511386291284,-0.000935758945633
350,0.003148185109134,-0.000104795683145,7.93339658760891E-05,-0.001211579795872,0.000145871023653,-0.000593159407491
352,0.002792440910556,-0.000168107926902,6.68133531024818E-05,-0.00071263681166,-0.00074879650445,-0.000618485580323
354,0.002654579070286,-6.53130378204003E-05,0.000148332702976,-6.29255858124148E-05,-0.000409108059556,-4.62102083458253E-05
356,0.002481007639759,6.38171602370942E-05,0.000235520040239,-0.001106718993369,-0.000799476351499,-0.000496670313602
358,0.002708142928133,0.000156378686102,0.000310758230287,-0.000662914654467,-0.000174137852512,-0.000575332550978
360,0.00271095610322,0.000460230921474,0.00033099022753,-0.000413847136119,0.000128124276912,-8.6832552797949E-05
361,0.002604241316553,-9.02274022125124E-05,0.000273221088251,-0.000289764102749,-0.000334913630722,-0.000170233578425
363,0.002443999784749,-2.942627975477E-05,0.000142014052484,-0.000567012637489,-0.000532481286222,-0.000458032276574
365,0.002537613618518,-0.00031592226272,7.33798965632998E-05,-0.000498066617593,-0.000439750020942,-0.000731523175252
367,0.00291489568241,0,0.000134927048529,-0.000915818389366,-0.000311328360019,-0.000791226990031
369,0.002926529785613,-0.000135745415774,0.000169560577959,-0.000156940055351,-0.000264532383636,-0.000537837700766
371,0.002510669391515,-5.2620845009465E-05,0.000179261119225,-0.000608368119199,-0.00069583626747,-0.000819065326497
373,0.00256465339848,0.000203692888055,0.000159021409802,-0.00029437065097,0,-0.000468378842978
375,0.003089399932741,0.000221610507128,0.000132815413515,-0.000189786452698,-0.000308472167525,-0.000313587242234
377,0.002945954403975,0.000119077590757,0.000202828196601,0.000137669795904,6.63003266415293E-05,-0.000235899007199
378,0.002077828914576,4.61106940481914E-05,0.00015053813774,-0.000266550985717,9.62761147257125E-05,-0.000391490247591
