wavelength,deepred,farred,red,white
546,0.0016,0.0047,0.0014,0.4301
547,0.0017,0.0048,0.0013,0.4262
548,0.0017,0.0047,0.0014,0.4222
549,0.0017,0.0047,0.0015,0.4181
550,0.0018,0.0046,0.0016,0.4138
551,0.0018,0.0045,0.0016,0.4097
552,0.0017,0.0044,0.0017,0.4056
553,0.0017,0.0042,0.0017,0.4015
554,0.0016,0.004,0.0018,0.3974
555,0.0016,0.0039,0.0018,0.3934
556,0.0015,0.0038,0.0017,0.3894
557,0.0015,0.0038,0.0016,0.3854
558,0.0015,0.0038,0.0015,0.3814
559,0.0015,0.0038,0.0015,0.3774
560,0.0015,0.0039,0.0014,0.3734
561,0.0016,0.0041,0.0014,0.3694
562,0.0016,0.0041,0.0014,0.3654
563,0.0016,0.0041,0.0014,0.3612
564,0.0016,0.0041,0.0013,0.357
565,0.0016,0.0041,0.0013,0.3529
566,0.0016,0.004,0.0014,0.3488
567,0.0015,0.004,0.0014,0.3449
568,0.0015,0.0039,0.0014,0.3409
569,0.0014,0.0039,0.0015,0.337
570,0.0014,0.0038,0.0016,0.3331
571,0.0013,0.0037,0.0017,0.3293
572,0.0013,0.0036,0.0019,0.3255
573,0.0013,0.0036,0.0021,0.3216
574,0.0013,0.0036,0.0024,0.3176
575,0.0013,0.0036,0.0027,0.3136
576,0.0013,0.0036,0.003,0.3097
577,0.0013,0.0036,0.0034,0.3057
578,0.0012,0.0036,0.0037,0.3016
579,0.0012,0.0036,0.0041,0.2975
580,0.0012,0.0036,0.0046,0.2935
581,0.0011,0.0035,0.0051,0.2896
582,0.0011,0.0034,0.0057,0.2859
583,0.001,0.0033,0.0064,0.2823
584,0.001,0.0033,0.0072,0.2786
585,0.0011,0.0034,0.0081,0.2749
586,0.0012,0.0036,0.0091,0.2714
587,0.0014,0.0038,0.0102,0.2678
588,0.0015,0.0039,0.0116,0.2641
589,0.0017,0.0038,0.0131,0.2603
590,0.0018,0.0037,0.0148,0.2565
591,0.0019,0.0036,0.0166,0.2527
592,0.002,0.0035,0.0187,0.249
593,0.0021,0.0032,0.0208,0.2453
594,0.0022,0.0029,0.0232,0.2416
595,0.0023,0.0028,0.026,0.2379
596,0.0024,0.0027,0.029,0.2341
597,0.0024,0.0027,0.0321,0.2304
598,0.0025,0.0027,0.0357,0.2266
599,0.0027,0.0027,0.0401,0.2228
600,0.0029,0.0029,0.0448,0.219
601,0.0032,0.0031,0.0499,0.2152
602,0.0035,0.0033,0.0558,0.2112
